lead_id,initial_payment,payment_method,intent,main_objection,requested_appointment,requested_quote,provider,model_name,prompt_version,confidence
LD-00100,,credito,,soat,False,False,mock,,1.0,0.75
LD-00104,,credito,,cuota,False,False,mock,,1.0,0.75
LD-00110,,credito,,soat,False,False,mock,,1.0,0.75
LD-00111,,credito,media,precio,False,True,mock,,1.0,0.75
LD-00114,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00115,8990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00116,6890000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00117,7490000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00122,,credito,,soat,False,False,mock,,1.0,0.75
LD-00124,7290000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00126,,credito,,soat,False,False,mock,,1.0,0.75
LD-00128,11490000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00133,8990000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00139,11490000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00143,10490000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00144,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00145,11290000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00146,,credito,,soat,False,False,mock,,1.0,0.75
LD-00148,,credito,,soat,False,False,mock,,1.0,0.75
LD-00153,,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00154,21900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00155,,credito,,soat,False,False,mock,,1.0,0.75
LD-00159,7490000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00160,24900000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00162,9890000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00164,,credito,media,precio,False,True,mock,,1.0,0.75
LD-00166,8990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00167,8990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00170,15490000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00172,10490000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00173,6890000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00175,22900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00179,,credito,,soat,False,False,mock,,1.0,0.75
LD-00181,11490000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00183,,credito,media,precio,False,True,mock,,1.0,0.75
LD-00185,,credito,,soat,False,False,mock,,1.0,0.75
LD-00189,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00190,4990000.0,credito,,soat,True,False,mock,,1.0,0.75
LD-00191,11990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00193,4990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00194,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00195,,credito,,cuota,False,False,mock,,1.0,0.75
LD-00196,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00197,14990000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00200,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00201,,credito,,soat,False,False,mock,,1.0,0.75
LD-00202,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00203,,credito,,soat,False,False,mock,,1.0,0.75
LD-00208,21900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00209,4990000.0,credito,,soat,True,True,mock,,1.0,0.75
LD-00211,10490000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00212,11490000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00213,22900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00214,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00215,22900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00217,4990000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00219,11990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00220,,credito,,soat,False,False,mock,,1.0,0.75
LD-00222,,credito,,soat,False,False,mock,,1.0,0.75
LD-00223,24900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00224,6990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00229,7490000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00231,7490000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00234,,credito,,soat,True,False,mock,,1.0,0.75
LD-00237,24900000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00240,14990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00244,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00246,,credito,,soat,False,False,mock,,1.0,0.75
LD-00247,,credito,,soat,True,False,mock,,1.0,0.75
LD-00250,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00251,9890000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00254,,credito,,soat,False,False,mock,,1.0,0.75
LD-00256,,credito,media,soat,True,False,mock,,1.0,0.75
LD-00269,,credito,,soat,False,False,mock,,1.0,0.75
LD-00272,,credito,,soat,False,False,mock,,1.0,0.75
LD-00273,24900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00276,7490000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00277,13990000.0,credito,,soat,True,False,mock,,1.0,0.75
LD-00278,,credito,,soat,False,False,mock,,1.0,0.75
LD-00279,5590000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00280,13990000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00281,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00285,,credito,,soat,False,False,mock,,1.0,0.75
LD-00286,7490000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00287,,credito,,soat,False,False,mock,,1.0,0.75
LD-00288,8990000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00291,6290000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00293,11990000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00295,10490000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00299,7490000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00300,,credito,media,precio,False,True,mock,,1.0,0.75
LD-00302,7190000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00304,,credito,media,precio,False,True,mock,,1.0,0.75
LD-00306,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00313,8990000.0,credito,media,precio,False,True,mock,,1.0,0.75
LD-00314,21900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00315,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00317,,credito,,soat,False,False,mock,,1.0,0.75
LD-00320,4990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00322,11990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00327,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00328,13990000.0,credito,media,soat,True,False,mock,,1.0,0.75
LD-00330,11490000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00332,9890000.0,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00333,,credito,media,soat,True,False,mock,,1.0,0.75
LD-00334,9890000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00336,,credito,,soat,False,False,mock,,1.0,0.75
LD-00345,11490000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00347,,credito,media,precio,False,True,mock,,1.0,0.75
LD-00348,6990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00350,,credito,,soat,False,False,mock,,1.0,0.75
LD-00351,,credito,,soat,False,False,mock,,1.0,0.75
LD-00353,15490000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00354,,credito,,soat,False,False,mock,,1.0,0.75
LD-00356,,credito,,soat,False,False,mock,,1.0,0.75
LD-00357,21900000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00358,11290000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00370,,credito,,soat,False,False,mock,,1.0,0.75
LD-00371,14990000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00376,11290000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00379,,credito,media,soat,True,False,mock,,1.0,0.75
LD-00383,4990000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00384,,credito,,soat,False,False,mock,,1.0,0.75
LD-00385,11290000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00390,9890000.0,credito,media,soat,True,False,mock,,1.0,0.75
LD-00392,7490000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00397,11490000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00398,7190000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00409,7190000.0,credito,,soat,False,True,mock,,1.0,0.75
LD-00410,,credito,,soat,False,False,mock,,1.0,0.75
LD-00411,,credito,,soat,False,False,mock,,1.0,0.75
LD-00412,,credito,media,soat,True,False,mock,,1.0,0.75
LD-00414,,credito,,soat,False,False,mock,,1.0,0.75
LD-00418,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00423,24900000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00424,21900000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00425,13990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00426,7290000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00428,,credito,,soat,False,False,mock,,1.0,0.75
LD-00429,24900000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00430,7290000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00433,15490000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00434,,credito,media,precio,False,True,mock,,1.0,0.75
LD-00437,24900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00439,7290000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00440,24900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00445,,credito,,soat,False,False,mock,,1.0,0.75
LD-00448,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00453,11990000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00454,,credito,,soat,False,False,mock,,1.0,0.75
LD-00456,6990000.0,credito,,soat,True,False,mock,,1.0,0.75
LD-00459,,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00462,,credito,,soat,False,False,mock,,1.0,0.75
LD-00465,14990000.0,credito,media,soat,True,False,mock,,1.0,0.75
LD-00466,6990000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00469,,credito,media,precio,False,True,mock,,1.0,0.75
LD-00470,6290000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00473,,credito,media,precio,False,True,mock,,1.0,0.75
LD-00481,5790000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00482,9890000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00483,24900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00484,11290000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00485,5790000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00493,,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00494,9890000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00497,5290000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00498,,credito,,soat,False,False,mock,,1.0,0.75
LD-00502,14990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00503,6990000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00504,,credito,,soat,True,False,mock,,1.0,0.75
LD-00506,8990000.0,credito,,soat,False,True,mock,,1.0,0.75
LD-00508,,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00515,11290000.0,credito,media,soat,True,False,mock,,1.0,0.75
LD-00516,7490000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00519,7490000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00521,,credito,,soat,False,False,mock,,1.0,0.75
LD-00522,22900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00529,21900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00530,24900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00532,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00533,,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00534,13990000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00535,,credito,,cuota,False,False,mock,,1.0,0.75
LD-00536,6990000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00540,7290000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00542,6990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00543,7990000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00544,22900000.0,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00547,,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00549,14990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00552,,credito,,soat,False,False,mock,,1.0,0.75
LD-00553,,credito,,soat,False,False,mock,,1.0,0.75
LD-00556,,credito,,soat,False,False,mock,,1.0,0.75
LD-00558,11290000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00561,7990000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00563,,credito,,soat,False,False,mock,,1.0,0.75
LD-00570,9890000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00571,7990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00573,,credito,,soat,True,False,mock,,1.0,0.75
LD-00574,11290000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00578,6890000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00580,,credito,media,precio,False,True,mock,,1.0,0.75
LD-00584,8990000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00587,5590000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00589,,credito,,soat,False,False,mock,,1.0,0.75
LD-00591,,credito,,soat,False,False,mock,,1.0,0.75
LD-00593,,credito,,soat,False,False,mock,,1.0,0.75
LD-00596,22900000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00597,,credito,,soat,False,False,mock,,1.0,0.75
LD-00604,4990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00605,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00606,,credito,,soat,False,False,mock,,1.0,0.75
LD-00607,11490000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00608,11490000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00612,11290000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00619,14990000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00620,7990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00623,24900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00626,,credito,,soat,False,False,mock,,1.0,0.75
LD-00627,8990000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00629,5290000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00631,,credito,,soat,False,False,mock,,1.0,0.75
LD-00632,7490000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00634,,credito,,soat,False,False,mock,,1.0,0.75
LD-00636,14990000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00637,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00638,6890000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00640,,credito,,soat,False,False,mock,,1.0,0.75
LD-00641,9890000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00642,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00643,22900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00644,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00646,14990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00648,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00649,11290000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00655,24900000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00658,7490000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00659,,credito,,soat,False,False,mock,,1.0,0.75
LD-00663,,credito,,soat,False,False,mock,,1.0,0.75
LD-00664,13990000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00668,,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00669,5290000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00670,,credito,,soat,False,False,mock,,1.0,0.75
LD-00673,6990000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00674,24900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00677,14990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00681,4990000.0,credito,media,soat,True,False,mock,,1.0,0.75
LD-00687,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00690,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00691,7490000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00693,11990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00694,15490000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00696,,credito,,soat,False,False,mock,,1.0,0.75
LD-00701,,credito,media,precio,False,True,mock,,1.0,0.75
LD-00703,,credito,,soat,False,False,mock,,1.0,0.75
LD-00705,,credito,,soat,False,False,mock,,1.0,0.75
LD-00712,22900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00714,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00715,,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00718,6290000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00728,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00729,,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00731,5790000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00733,6890000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00734,7490000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00735,6990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00736,6890000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00740,7490000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00742,6590000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00743,24900000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00749,22900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00751,15490000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00754,13990000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00759,11290000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00762,11290000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00764,,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00765,24900000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00767,24900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00769,,credito,,soat,False,False,mock,,1.0,0.75
LD-00770,24900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00776,,credito,,soat,False,False,mock,,1.0,0.75
LD-00779,6890000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00782,4990000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00787,7490000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00788,21900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00792,,credito,,soat,False,False,mock,,1.0,0.75
LD-00794,9890000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00795,15490000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00797,6990000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00800,6890000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00804,7990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00806,,credito,,soat,False,False,mock,,1.0,0.75
LD-00807,,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00810,,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00813,5790000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00816,5790000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00820,22900000.0,credito,media,soat,True,False,mock,,1.0,0.75
LD-00821,10490000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00823,21900000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00827,13990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00828,22900000.0,credito,,soat,True,False,mock,,1.0,0.75
LD-00831,5290000.0,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00835,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00836,7190000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00837,14990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00839,14990000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00840,9890000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00841,10490000.0,credito,,soat,True,False,mock,,1.0,0.75
LD-00849,6590000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00850,11290000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00853,22900000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00854,24900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00856,,credito,media,cuota,False,False,mock,,1.0,0.75
LD-00859,4990000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00860,21900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00863,21900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00867,5590000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00871,,credito,,soat,False,False,mock,,1.0,0.75
LD-00876,7290000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00880,,credito,,soat,False,False,mock,,1.0,0.75
LD-00881,,credito,,soat,True,False,mock,,1.0,0.75
LD-00884,,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00885,,credito,,soat,False,False,mock,,1.0,0.75
LD-00889,,credito,,soat,False,False,mock,,1.0,0.75
LD-00891,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00893,14990000.0,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00894,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00895,,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00897,21900000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00898,,credito,,soat,False,False,mock,,1.0,0.75
LD-00902,21900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00903,14990000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00910,7190000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00911,22900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00916,,credito,,soat,False,False,mock,,1.0,0.75
LD-00917,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00920,4990000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00921,6590000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00922,22900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00927,11490000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00928,,credito,,soat,False,False,mock,,1.0,0.75
LD-00929,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00931,,credito,,soat,False,False,mock,,1.0,0.75
LD-00932,5790000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00933,,credito,,soat,False,False,mock,,1.0,0.75
LD-00934,,credito,,soat,False,False,mock,,1.0,0.75
LD-00940,11290000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00944,15490000.0,credito,media,precio,False,True,mock,,1.0,0.75
LD-00946,4990000.0,credito,baja,precio,False,True,mock,,1.0,0.75
LD-00949,,credito,,soat,False,False,mock,,1.0,0.75
LD-00950,14990000.0,credito,media,cuota,False,True,mock,,1.0,0.75
LD-00954,,credito,,soat,False,False,mock,,1.0,0.75
LD-00955,24900000.0,credito,,soat,False,False,mock,,1.0,0.75
LD-00956,7990000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00958,,credito,,soat,False,False,mock,,1.0,0.75
LD-00960,5290000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00963,7490000.0,credito,media,precio,False,True,mock,,1.0,0.75
LD-00965,,credito,,soat,False,False,mock,,1.0,0.75
LD-00972,8990000.0,credito,,cuota,False,True,mock,,1.0,0.75
LD-00975,,credito,,soat,False,False,mock,,1.0,0.75
LD-00978,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00979,11490000.0,credito,media,soat,True,False,mock,,1.0,0.75
LD-00980,11290000.0,credito,media,soat,True,False,mock,,1.0,0.75
LD-00981,,credito,media,soat,False,False,mock,,1.0,0.75
LD-00982,,credito,,soat,False,False,mock,,1.0,0.75
LD-00983,9890000.0,credito,media,soat,False,False,mock,,1.0,0.75
LD-00984,,credito,,soat,False,False,mock,,1.0,0.75
