lead_id,advisor_id,assignment_date,priority_at_assignment,position
LD-00883,AS-001,2026-09-17 19:35:35.817455,LOW,4
LD-00675,AS-029,2026-09-17 19:35:35.817455,LOW,9
LD-00136,AS-038,2026-09-17 19:35:35.817455,LOW,5
LD-00374,AS-017,2026-09-17 19:35:35.817455,LOW,3
LD-01079,AS-021,2026-09-17 19:35:35.817455,LOW,7
LD-01117,AS-024,2026-09-17 19:35:35.817455,LOW,6
LD-00199,AS-013,2026-09-17 19:35:35.817455,LOW,4
LD-01164,AS-013,2026-09-17 19:35:35.817455,LOW,5
LD-00997,AS-017,2026-09-17 19:35:35.817455,LOW,4
LD-00715,AS-024,2026-09-17 19:35:35.817455,LOW,7
LD-00042,AS-017,2026-09-17 19:35:35.817455,LOW,5
LD-00140,AS-038,2026-09-17 19:35:35.817455,LOW,6
LD-01479,AS-009,2026-09-17 19:35:35.817455,LOW,9
LD-01338,AS-005,2026-09-17 19:35:35.817455,LOW,6
LD-00307,AS-009,2026-09-17 19:35:35.817455,LOW,10
LD-00787,AS-038,2026-09-17 19:35:35.817455,LOW,7
LD-00429,AS-017,2026-09-17 19:35:35.817455,LOW,6
LD-00209,AS-001,2026-09-17 19:35:35.817455,LOW,5
LD-00854,AS-019,2026-09-17 19:35:35.817455,LOW,5
LD-01100,AS-017,2026-09-17 19:35:35.817455,LOW,7
LD-00458,AS-033,2026-09-17 19:35:35.817455,LOW,2
LD-00979,AS-021,2026-09-17 19:35:35.817455,LOW,8
LD-01399,AS-009,2026-09-17 19:35:35.817455,LOW,11
LD-00893,AS-013,2026-09-17 19:35:35.817455,LOW,6
LD-01291,AS-033,2026-09-17 19:35:35.817455,LOW,3
LD-00190,AS-009,2026-09-17 19:35:35.817455,LOW,12
LD-00362,AS-001,2026-09-17 19:35:35.817455,LOW,6
LD-00466,AS-041,2026-09-17 19:35:35.817455,LOW,1
LD-00007,AS-024,2026-09-17 19:35:35.817455,LOW,8
LD-01179,AS-039,2026-09-17 19:35:35.817455,LOW,10
LD-01176,AS-009,2026-09-17 19:35:35.817455,LOW,13
LD-00964,AS-019,2026-09-17 19:35:35.817455,LOW,6
LD-00721,AS-001,2026-09-17 19:35:35.817455,LOW,7
LD-01425,AS-024,2026-09-17 19:35:35.817455,LOW,9
LD-00394,AS-009,2026-09-17 19:35:35.817455,LOW,14
LD-00039,AS-024,2026-09-17 19:35:35.817455,LOW,10
LD-00944,AS-033,2026-09-17 19:35:35.817455,LOW,4
LD-01322,AS-038,2026-09-17 19:35:35.817455,LOW,8
LD-01493,AS-039,2026-09-17 19:35:35.817455,LOW,11
LD-01020,AS-013,2026-09-17 19:35:35.817455,LOW,7
LD-01354,AS-019,2026-09-17 19:35:35.817455,LOW,7
LD-00957,AS-038,2026-09-17 19:35:35.817455,LOW,9
LD-00419,AS-017,2026-09-17 19:35:35.817455,LOW,8
LD-00492,AS-009,2026-09-17 19:35:35.817455,LOW,15
LD-00506,AS-038,2026-09-17 19:35:35.817455,LOW,10
LD-00380,AS-005,2026-09-17 19:35:35.817455,LOW,7
LD-01392,AS-038,2026-09-17 19:35:35.817455,LOW,11
LD-01073,AS-041,2026-09-17 19:35:35.817455,LOW,2
LD-01266,AS-001,2026-09-17 19:35:35.817455,LOW,8
LD-00632,AS-024,2026-09-17 19:35:35.817455,LOW,11
LD-00359,AS-027,2026-09-17 19:35:35.817455,LOW,2
LD-00234,AS-029,2026-09-17 19:35:35.817455,LOW,10
LD-01153,AS-029,2026-09-17 19:35:35.817455,LOW,11
LD-00875,AS-001,2026-09-17 19:35:35.817455,LOW,9
LD-01135,AS-029,2026-09-17 19:35:35.817455,LOW,12
LD-00121,AS-033,2026-09-17 19:35:35.817455,LOW,5
LD-00995,AS-029,2026-09-17 19:35:35.817455,LOW,13
LD-00348,AS-017,2026-09-17 19:35:35.817455,LOW,9
LD-00981,AS-021,2026-09-17 19:35:35.817455,LOW,9
LD-01154,AS-001,2026-09-17 19:35:35.817455,LOW,10
LD-00212,AS-038,2026-09-17 19:35:35.817455,LOW,12
LD-00876,AS-039,2026-09-17 19:35:35.817455,LOW,12
LD-00430,AS-024,2026-09-17 19:35:35.817455,LOW,12
LD-00156,AS-039,2026-09-17 19:35:35.817455,LOW,13
LD-00781,AS-009,2026-09-17 19:35:35.817455,LOW,16
LD-00298,AS-033,2026-09-17 19:35:35.817455,LOW,6
LD-00023,AS-009,2026-09-17 19:35:35.817455,LOW,17
LD-00951,AS-019,2026-09-17 19:35:35.817455,LOW,8
LD-00432,AS-005,2026-09-17 19:35:35.817455,LOW,8
LD-00030,AS-009,2026-09-17 19:35:35.817455,LOW,18
LD-00032,AS-017,2026-09-17 19:35:35.817455,LOW,10
LD-01102,AS-017,2026-09-17 19:35:35.817455,LOW,11
LD-00988,AS-017,2026-09-17 19:35:35.817455,LOW,12
LD-00768,AS-033,2026-09-17 19:35:35.817455,LOW,7
LD-01252,AS-033,2026-09-17 19:35:35.817455,LOW,8
LD-01003,AS-001,2026-09-17 19:35:35.817455,LOW,11
LD-01096,AS-005,2026-09-17 19:35:35.817455,LOW,9
LD-01257,AS-017,2026-09-17 19:35:35.817455,LOW,13
LD-00444,AS-013,2026-09-17 19:35:35.817455,LOW,8
LD-01459,AS-019,2026-09-17 19:35:35.817455,LOW,9
LD-00991,AS-024,2026-09-17 19:35:35.817455,LOW,13
LD-01109,AS-010,2026-09-17 19:35:35.817455,LOW,1
LD-00257,AS-027,2026-09-17 19:35:35.817455,LOW,3
LD-00759,AS-029,2026-09-17 19:35:35.817455,LOW,14
LD-00643,AS-013,2026-09-17 19:35:35.817455,LOW,9
LD-00154,AS-039,2026-09-17 19:35:35.817455,LOW,14
LD-01041,AS-019,2026-09-17 19:35:35.817455,LOW,10
LD-01217,AS-033,2026-09-17 19:35:35.817455,LOW,9
LD-00172,AS-033,2026-09-17 19:35:35.817455,LOW,10
LD-01376,AS-039,2026-09-17 19:35:35.817455,LOW,15
LD-01348,AS-027,2026-09-17 19:35:35.817455,LOW,4
LD-00729,AS-021,2026-09-17 19:35:35.817455,LOW,10
LD-00237,AS-033,2026-09-17 19:35:35.817455,LOW,11
LD-01212,AS-010,2026-09-17 19:35:35.817455,LOW,2
LD-00877,AS-017,2026-09-17 19:35:35.817455,LOW,14
LD-00513,AS-001,2026-09-17 19:35:35.817455,LOW,12
LD-00718,AS-041,2026-09-17 19:35:35.817455,LOW,3
LD-01259,AS-021,2026-09-17 19:35:35.817455,LOW,11
LD-00828,AS-024,2026-09-17 19:35:35.817455,LOW,14
LD-01080,AS-005,2026-09-17 19:35:35.817455,LOW,10
LD-00735,AS-010,2026-09-17 19:35:35.817455,LOW,3
LD-00211,AS-029,2026-09-17 19:35:35.817455,LOW,15
LD-00231,AS-019,2026-09-17 19:35:35.817455,LOW,11
LD-01222,AS-002,2026-09-17 19:35:35.817455,LOW,1
LD-01182,AS-030,2026-09-17 19:35:35.817455,LOW,1
LD-00950,AS-027,2026-09-17 19:35:35.817455,LOW,5
LD-01178,AS-015,2026-09-17 19:35:35.817455,LOW,3
LD-01429,AS-030,2026-09-17 19:35:35.817455,LOW,2
LD-01122,AS-027,2026-09-17 19:35:35.817455,LOW,6
LD-01245,AS-017,2026-09-17 19:35:35.817455,LOW,15
LD-00657,AS-041,2026-09-17 19:35:35.817455,LOW,4
LD-01168,AS-002,2026-09-17 19:35:35.817455,LOW,2
LD-00529,AS-024,2026-09-17 19:35:35.817455,LOW,15
LD-00392,AS-018,2026-09-17 19:35:35.817455,LOW,1
LD-01239,AS-027,2026-09-17 19:35:35.817455,LOW,7
LD-00456,AS-002,2026-09-17 19:35:35.817455,LOW,3
LD-00515,AS-018,2026-09-17 19:35:35.817455,LOW,2
LD-00325,AS-013,2026-09-17 19:35:35.817455,LOW,10
LD-01303,AS-027,2026-09-17 19:35:35.817455,LOW,8
LD-00681,AS-010,2026-09-17 19:35:35.817455,LOW,4
LD-01407,AS-030,2026-09-17 19:35:35.817455,LOW,3
LD-01203,AS-015,2026-09-17 19:35:35.817455,LOW,4
LD-01021,AS-015,2026-09-17 19:35:35.817455,LOW,5
LD-00836,AS-019,2026-09-17 19:35:35.817455,LOW,12
LD-00465,AS-021,2026-09-17 19:35:35.817455,LOW,12
LD-01210,AS-020,2026-09-17 19:35:35.817455,LOW,1
LD-00328,AS-020,2026-09-17 19:35:35.817455,LOW,2
LD-00980,AS-041,2026-09-17 19:35:35.817455,LOW,5
LD-01062,AS-041,2026-09-17 19:35:35.817455,LOW,6
LD-00670,AS-021,2026-09-17 19:35:35.817455,LOW,13
LD-01293,AS-013,2026-09-17 19:35:35.817455,LOW,11
LD-00859,AS-015,2026-09-17 19:35:35.817455,LOW,6
LD-00658,AS-033,2026-09-17 19:35:35.817455,LOW,12
LD-01434,AS-020,2026-09-17 19:35:35.817455,LOW,3
LD-01275,AS-018,2026-09-17 19:35:35.817455,LOW,3
LD-01383,AS-010,2026-09-17 19:35:35.817455,LOW,5
LD-00547,AS-010,2026-09-17 19:35:35.817455,LOW,6
LD-00637,AS-041,2026-09-17 19:35:35.817455,LOW,7
LD-00743,AS-010,2026-09-17 19:35:35.817455,LOW,7
LD-01225,AS-027,2026-09-17 19:35:35.817455,LOW,9
LD-00792,AS-021,2026-09-17 19:35:35.817455,LOW,14
LD-00277,AS-002,2026-09-17 19:35:35.817455,LOW,4
LD-00823,AS-041,2026-09-17 19:35:35.817455,LOW,8
LD-00367,AS-024,2026-09-17 19:35:35.817455,LOW,16
LD-00322,AS-027,2026-09-17 19:35:35.817455,LOW,10
LD-01319,AS-010,2026-09-17 19:35:35.817455,LOW,8
LD-00782,AS-018,2026-09-17 19:35:35.817455,LOW,4
LD-00802,AS-030,2026-09-17 19:35:35.817455,LOW,4
LD-01474,AS-030,2026-09-17 19:35:35.817455,LOW,5
LD-00046,AS-005,2026-09-17 19:35:35.817455,LOW,11
LD-01042,AS-015,2026-09-17 19:35:35.817455,LOW,7
LD-01024,AS-010,2026-09-17 19:35:35.817455,LOW,9
LD-00210,AS-010,2026-09-17 19:35:35.817455,LOW,10
LD-00260,AS-010,2026-09-17 19:35:35.817455,LOW,11
LD-01263,AS-013,2026-09-17 19:35:35.817455,LOW,12
LD-01162,AS-027,2026-09-17 19:35:35.817455,LOW,11
LD-00372,AS-030,2026-09-17 19:35:35.817455,LOW,6
LD-00069,AS-014,2026-09-17 19:35:35.817455,LOW,1
LD-00567,AS-039,2026-09-17 19:35:35.817455,LOW,16
LD-00330,AS-024,2026-09-17 19:35:35.817455,LOW,17
LD-00425,AS-039,2026-09-17 19:35:35.817455,LOW,17
LD-00482,AS-033,2026-09-17 19:35:35.817455,LOW,13
LD-00397,AS-015,2026-09-17 19:35:35.817455,LOW,8
LD-00280,AS-030,2026-09-17 19:35:35.817455,LOW,7
LD-00700,AS-005,2026-09-17 19:35:35.817455,LOW,12
LD-00920,AS-005,2026-09-17 19:35:35.817455,LOW,13
LD-01424,AS-014,2026-09-17 19:35:35.817455,LOW,2
LD-00731,AS-039,2026-09-17 19:35:35.817455,LOW,18
LD-00926,AS-024,2026-09-17 19:35:35.817455,LOW,18
LD-01082,AS-041,2026-09-17 19:35:35.817455,LOW,9
LD-00241,AS-041,2026-09-17 19:35:35.817455,LOW,10
LD-00869,AS-039,2026-09-17 19:35:35.817455,LOW,19
LD-00168,AS-030,2026-09-17 19:35:35.817455,LOW,8
LD-00115,AS-015,2026-09-17 19:35:35.817455,LOW,9
LD-00313,AS-021,2026-09-17 19:35:35.817455,LOW,15
LD-01078,AS-010,2026-09-17 19:35:35.817455,LOW,12
LD-00865,AS-033,2026-09-17 19:35:35.817455,LOW,14
LD-00765,AS-030,2026-09-17 19:35:35.817455,LOW,9
LD-00561,AS-041,2026-09-17 19:35:35.817455,LOW,11
LD-01262,AS-033,2026-09-17 19:35:35.817455,LOW,15
LD-00481,AS-041,2026-09-17 19:35:35.817455,LOW,12
LD-00534,AS-014,2026-09-17 19:35:35.817455,LOW,3
LD-00800,AS-033,2026-09-17 19:35:35.817455,LOW,16
LD-00628,AS-010,2026-09-17 19:35:35.817455,LOW,13
LD-01320,AS-027,2026-09-17 19:35:35.817455,LOW,12
LD-01223,AS-021,2026-09-17 19:35:35.817455,LOW,16
LD-00345,AS-014,2026-09-17 19:35:35.817455,LOW,4
LD-00092,AS-033,2026-09-17 19:35:35.817455,LOW,17
LD-00821,AS-020,2026-09-17 19:35:35.817455,LOW,4
LD-00217,AS-024,2026-09-17 19:35:35.817455,LOW,19
LD-00673,AS-028,2026-09-17 19:35:35.817455,LOW,1
LD-00420,AS-005,2026-09-17 19:35:35.817455,LOW,14
LD-00468,AS-010,2026-09-17 19:35:35.817455,LOW,14
LD-00536,AS-039,2026-09-17 19:35:35.817455,LOW,20
LD-01186,AS-030,2026-09-17 19:35:35.817455,LOW,10
LD-00816,AS-020,2026-09-17 19:35:35.817455,LOW,5
LD-01098,AS-018,2026-09-17 19:35:35.817455,LOW,5
LD-00840,AS-021,2026-09-17 19:35:35.817455,LOW,17
LD-01155,AS-041,2026-09-17 19:35:35.817455,LOW,13
LD-01243,AS-015,2026-09-17 19:35:35.817455,LOW,10
LD-01409,AS-030,2026-09-17 19:35:35.817455,LOW,11
LD-00424,AS-030,2026-09-17 19:35:35.817455,LOW,12
LD-00494,AS-014,2026-09-17 19:35:35.817455,LOW,5
LD-00751,AS-018,2026-09-17 19:35:35.817455,LOW,6
LD-01432,AS-015,2026-09-17 19:35:35.817455,LOW,11
LD-00693,AS-024,2026-09-17 19:35:35.817455,LOW,20
LD-00037,AS-021,2026-09-17 19:35:35.817455,LOW,18
LD-01205,AS-033,2026-09-17 19:35:35.817455,LOW,18
LD-01088,AS-021,2026-09-17 19:35:35.817455,LOW,19
LD-00795,AS-028,2026-09-17 19:35:35.817455,LOW,2
LD-01181,AS-033,2026-09-17 19:35:35.817455,LOW,19
LD-01277,AS-020,2026-09-17 19:35:35.817455,LOW,6
LD-01012,AS-041,2026-09-17 19:35:35.817455,LOW,14
LD-00423,AS-018,2026-09-17 19:35:35.817455,LOW,7
LD-00649,AS-021,2026-09-17 19:35:35.817455,LOW,20
LD-00867,AS-005,2026-09-17 19:35:35.817455,LOW,15
LD-01269,AS-014,2026-09-17 19:35:35.817455,LOW,6
LD-00655,AS-028,2026-09-17 19:35:35.817455,LOW,3
LD-01169,AS-030,2026-09-17 19:35:35.817455,LOW,13
LD-00986,AS-014,2026-09-17 19:35:35.817455,LOW,7
LD-00497,AS-005,2026-09-17 19:35:35.817455,LOW,16
LD-01306,AS-041,2026-09-17 19:35:35.817455,LOW,15
LD-00599,AS-014,2026-09-17 19:35:35.817455,LOW,8
LD-00320,AS-030,2026-09-17 19:35:35.817455,LOW,14
LD-01475,AS-018,2026-09-17 19:35:35.817455,LOW,8
LD-00592,AS-020,2026-09-17 19:35:35.817455,LOW,7
LD-00441,AS-020,2026-09-17 19:35:35.817455,LOW,8
LD-00880,AS-018,2026-09-17 19:35:35.817455,LOW,9
LD-00573,AS-005,2026-09-17 19:35:35.817455,LOW,17
LD-00989,AS-015,2026-09-17 19:35:35.817455,LOW,12
LD-01001,AS-022,2026-09-17 19:35:35.817455,LOW,1
LD-01453,AS-014,2026-09-17 19:35:35.817455,LOW,9
LD-01380,AS-020,2026-09-17 19:35:35.817455,LOW,9
LD-00035,AS-018,2026-09-17 19:35:35.817455,LOW,10
LD-00938,AS-028,2026-09-17 19:35:35.817455,LOW,4
LD-00736,AS-002,2026-09-17 19:35:35.817455,LOW,5
LD-00874,AS-041,2026-09-17 19:35:35.817455,LOW,16
LD-00955,AS-018,2026-09-17 19:35:35.817455,LOW,11
LD-01452,AS-010,2026-09-17 19:35:35.817455,LOW,15
LD-01468,AS-028,2026-09-17 19:35:35.817455,LOW,5
LD-00061,AS-014,2026-09-17 19:35:35.817455,LOW,10
LD-01273,AS-010,2026-09-17 19:35:35.817455,LOW,16
LD-00841,AS-015,2026-09-17 19:35:35.817455,LOW,13
LD-01497,AS-005,2026-09-17 19:35:35.817455,LOW,18
LD-01141,AS-041,2026-09-17 19:35:35.817455,LOW,17
LD-00300,AS-028,2026-09-17 19:35:35.817455,LOW,6
LD-01133,AS-002,2026-09-17 19:35:35.817455,LOW,6
LD-01015,AS-041,2026-09-17 19:35:35.817455,LOW,18
LD-01165,AS-018,2026-09-17 19:35:35.817455,LOW,12
LD-01166,AS-025,2026-09-17 19:35:35.817455,LOW,1
LD-00617,AS-030,2026-09-17 19:35:35.817455,LOW,15
LD-01439,AS-010,2026-09-17 19:35:35.817455,LOW,17
LD-00083,AS-041,2026-09-17 19:35:35.817455,LOW,19
LD-00368,AS-031,2026-09-17 19:35:35.817455,LOW,1
LD-00256,AS-041,2026-09-17 19:35:35.817455,LOW,20
LD-00091,AS-014,2026-09-17 19:35:35.817455,LOW,11
LD-01427,AS-033,2026-09-17 19:35:35.817455,LOW,20
LD-00333,AS-033,2026-09-17 19:35:35.817455,LOW,21
LD-00412,AS-002,2026-09-17 19:35:35.817455,LOW,7
LD-00701,AS-006,2026-09-17 19:35:35.817455,LOW,1
LD-01499,AS-031,2026-09-17 19:35:35.817455,LOW,2
LD-00560,AS-025,2026-09-17 19:35:35.817455,LOW,2
LD-00487,AS-010,2026-09-17 19:35:35.817455,LOW,18
LD-00074,AS-006,2026-09-17 19:35:35.817455,LOW,2
LD-00608,AS-006,2026-09-17 19:35:35.817455,LOW,3
LD-00890,AS-022,2026-09-17 19:35:35.817455,LOW,2
LD-00683,AS-011,2026-09-17 19:35:35.817455,LOW,1
LD-00667,AS-025,2026-09-17 19:35:35.817455,LOW,3
LD-01330,AS-020,2026-09-17 19:35:35.817455,LOW,10
LD-01267,AS-022,2026-09-17 19:35:35.817455,LOW,3
LD-00530,AS-014,2026-09-17 19:35:35.817455,LOW,12
LD-01090,AS-033,2026-09-17 19:35:35.817455,LOW,22
LD-01056,AS-033,2026-09-17 19:35:35.817455,LOW,23
LD-01037,AS-011,2026-09-17 19:35:35.817455,LOW,2
LD-00604,AS-033,2026-09-17 19:35:35.817455,LOW,24
LD-00983,AS-033,2026-09-17 19:35:35.817455,LOW,25
LD-00010,AS-020,2026-09-17 19:35:35.817455,LOW,11
LD-00407,AS-028,2026-09-17 19:35:35.817455,LOW,7
LD-01477,AS-025,2026-09-17 19:35:35.817455,LOW,4
LD-01028,AS-015,2026-09-17 19:35:35.817455,LOW,14
LD-00937,AS-041,2026-09-17 19:35:35.817455,LOW,21
LD-00375,AS-028,2026-09-17 19:35:35.817455,LOW,8
LD-01288,AS-006,2026-09-17 19:35:35.817455,LOW,4
LD-01329,AS-015,2026-09-17 19:35:35.817455,LOW,15
LD-00960,AS-018,2026-09-17 19:35:35.817455,LOW,13
LD-01137,AS-002,2026-09-17 19:35:35.817455,LOW,8
LD-01404,AS-034,2026-09-17 19:35:35.817455,LOW,1
LD-01390,AS-031,2026-09-17 19:35:35.817455,LOW,3
LD-00993,AS-006,2026-09-17 19:35:35.817455,LOW,5
LD-00334,AS-002,2026-09-17 19:35:35.817455,LOW,9
LD-01356,AS-028,2026-09-17 19:35:35.817455,LOW,9
LD-01140,AS-006,2026-09-17 19:35:35.817455,LOW,6
LD-01450,AS-015,2026-09-17 19:35:35.817455,LOW,16
LD-00197,AS-041,2026-09-17 19:35:35.817455,LOW,22
LD-00947,AS-002,2026-09-17 19:35:35.817455,LOW,10
LD-00967,AS-041,2026-09-17 19:35:35.817455,LOW,23
LD-01034,AS-015,2026-09-17 19:35:35.817455,LOW,17
LD-00972,AS-006,2026-09-17 19:35:35.817455,LOW,7
LD-01342,AS-002,2026-09-17 19:35:35.817455,LOW,11
LD-00347,AS-020,2026-09-17 19:35:35.817455,LOW,12
LD-01473,AS-002,2026-09-17 19:35:35.817455,LOW,12
LD-01192,AS-041,2026-09-17 19:35:35.817455,LOW,24
LD-00634,AS-015,2026-09-17 19:35:35.817455,LOW,18
LD-01213,AS-018,2026-09-17 19:35:35.817455,LOW,14
LD-00897,AS-002,2026-09-17 19:35:35.817455,LOW,13
LD-00434,AS-034,2026-09-17 19:35:35.817455,LOW,2
LD-00976,AS-034,2026-09-17 19:35:35.817455,LOW,3
LD-01120,AS-002,2026-09-17 19:35:35.817455,LOW,14
LD-00002,AS-028,2026-09-17 19:35:35.817455,LOW,10
LD-01420,AS-011,2026-09-17 19:35:35.817455,LOW,3
LD-00162,AS-015,2026-09-17 19:35:35.817455,LOW,19
LD-00493,AS-006,2026-09-17 19:35:35.817455,LOW,8
LD-01418,AS-031,2026-09-17 19:35:35.817455,LOW,4
LD-01238,AS-041,2026-09-17 19:35:35.817455,LOW,25
LD-00439,AS-018,2026-09-17 19:35:35.817455,LOW,15
LD-01476,AS-022,2026-09-17 19:35:35.817455,LOW,4
LD-00273,AS-002,2026-09-17 19:35:35.817455,LOW,15
LD-00866,AS-022,2026-09-17 19:35:35.817455,LOW,5
LD-00927,AS-014,2026-09-17 19:35:35.817455,LOW,13
LD-00124,AS-014,2026-09-17 19:35:35.817455,LOW,14
LD-00075,AS-006,2026-09-17 19:35:35.817455,LOW,9
LD-00620,AS-042,2026-09-17 19:35:35.817455,LOW,1
LD-01134,AS-025,2026-09-17 19:35:35.817455,LOW,5
LD-01389,AS-015,2026-09-17 19:35:35.817455,LOW,20
LD-01236,AS-031,2026-09-17 19:35:35.817455,LOW,5
LD-00519,AS-028,2026-09-17 19:35:35.817455,LOW,11
LD-01367,AS-018,2026-09-17 19:35:35.817455,LOW,16
LD-01107,AS-018,2026-09-17 19:35:35.817455,LOW,17
LD-00022,AS-014,2026-09-17 19:35:35.817455,LOW,15
LD-00409,AS-025,2026-09-17 19:35:35.817455,LOW,6
LD-00198,AS-002,2026-09-17 19:35:35.817455,LOW,16
LD-00860,AS-018,2026-09-17 19:35:35.817455,LOW,18
LD-00607,AS-018,2026-09-17 19:35:35.817455,LOW,19
LD-00679,AS-025,2026-09-17 19:35:35.817455,LOW,7
LD-00549,AS-015,2026-09-17 19:35:35.817455,LOW,21
LD-01053,AS-042,2026-09-17 19:35:35.817455,LOW,2
LD-00385,AS-022,2026-09-17 19:35:35.817455,LOW,6
LD-00213,AS-028,2026-09-17 19:35:35.817455,LOW,12
LD-00677,AS-028,2026-09-17 19:35:35.817455,LOW,13
LD-01209,AS-025,2026-09-17 19:35:35.817455,LOW,8
LD-01421,AS-002,2026-09-17 19:35:35.817455,LOW,17
LD-00641,AS-014,2026-09-17 19:35:35.817455,LOW,16
LD-00013,AS-042,2026-09-17 19:35:35.817455,LOW,3
LD-01296,AS-042,2026-09-17 19:35:35.817455,LOW,4
LD-01331,AS-018,2026-09-17 19:35:35.817455,LOW,20
LD-00522,AS-028,2026-09-17 19:35:35.817455,LOW,14
LD-00355,AS-042,2026-09-17 19:35:35.817455,LOW,5
LD-01351,AS-015,2026-09-17 19:35:35.817455,LOW,22
LD-00694,AS-014,2026-09-17 19:35:35.817455,LOW,17
LD-01377,AS-011,2026-09-17 19:35:35.817455,LOW,4
LD-00160,AS-015,2026-09-17 19:35:35.817455,LOW,23
LD-00580,AS-011,2026-09-17 19:35:35.817455,LOW,5
LD-00167,AS-025,2026-09-17 19:35:35.817455,LOW,9
LD-00502,AS-028,2026-09-17 19:35:35.817455,LOW,15
LD-00139,AS-015,2026-09-17 19:35:35.817455,LOW,24
LD-01097,AS-006,2026-09-17 19:35:35.817455,LOW,10
LD-01274,AS-015,2026-09-17 19:35:35.817455,LOW,25
LD-00742,AS-002,2026-09-17 19:35:35.817455,LOW,18
LD-00053,AS-006,2026-09-17 19:35:35.817455,LOW,11
LD-01029,AS-031,2026-09-17 19:35:35.817455,LOW,6
